,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,1.0,11.0,18.0,8.0,3.0,0.0,51.0,0.0,1.0
2020-03-30,1.0,11.0,20.0,8.0,3.0,1.0,56.0,0.0,1.0
2020-03-31,1.0,13.0,20.0,8.0,4.0,1.0,60.0,0.0,1.0
2020-04-01,1.0,13.0,21.0,7.0,4.0,1.0,63.0,0.0,4.0
2020-04-02,1.0,15.0,22.0,7.0,5.0,1.0,65.0,0.0,6.0
2020-04-03,1.0,15.0,24.0,7.0,5.0,1.0,69.0,0.0,6.0
2020-04-04,1.0,18.0,24.0,7.0,5.0,1.0,84.0,0.0,6.0
2020-04-05,1.0,27.0,32.0,7.0,5.0,1.0,92.0,0.0,6.0
2020-04-06,1.0,30.0,31.0,7.0,8.0,1.0,95.0,0.0,6.0
2020-04-07,1.0,32.0,36.0,7.0,9.0,1.0,98.0,0.0,10.0
2020-04-08,1.0,50.0,45.0,7.0,12.0,1.0,118.0,0.0,10.0
2020-04-09,1.0,50.0,46.0,7.0,12.0,1.0,120.0,0.0,10.0
2020-04-10,1.0,52.0,46.0,7.0,12.0,1.0,124.0,0.0,10.0
2020-04-11,1.0,57.0,45.0,9.0,14.0,1.0,136.0,0.0,11.0
2020-04-12,1.0,63.0,48.0,10.0,14.0,2.0,152.0,0.0,11.0
2020-04-13,1.0,69.0,50.0,11.0,14.0,2.0,162.0,0.0,11.0
2020-04-14,1.0,79.0,53.0,27.0,14.0,2.0,175.0,0.0,11.0
2020-04-15,1.0,89.0,55.0,27.0,14.0,2.0,199.0,0.0,11.0
2020-04-16,1.0,107.0,48.0,28.0,15.0,2.0,196.0,0.0,11.0
2020-04-17,1.0,102.0,49.0,32.0,17.0,3.0,215.0,0.0,12.0
2020-04-18,1.0,108.0,49.0,35.0,17.0,3.0,233.0,0.0,12.0
2020-04-19,1.0,115.0,49.0,35.0,18.0,3.0,268.0,0.0,11.0
2020-04-20,1.0,116.0,42.0,39.0,18.0,3.0,295.0,2.0,11.0
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,1.0,118.0,44.0,49.0,20.0,3.0,341.0,1.0,11.0
2020-04-23,2.0,124.0,47.0,52.0,20.0,3.0,352.0,1.0,5.0
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,2.0,128.0,52.0,55.0,25.0,3.0,438.0,38.0,5.0
2020-04-26,2.0,137.0,59.0,65.0,25.0,3.0,468.0,56.0,5.0
2020-04-27,3.0,151.0,50.0,78.0,23.0,3.0,489.0,61.0,5.0
2020-04-28,3.0,147.0,51.0,78.0,23.0,3.0,516.0,62.0,5.0
2020-04-29,3.0,160.0,52.0,86.0,23.0,3.0,536.0,66.0,5.0
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,4.0,179.0,49.0,91.0,23.0,3.0,595.0,80.0,5.0
2020-05-02,4.0,187.0,50.0,77.0,23.0,3.0,704.0,187.0,5.0
2020-05-03,4.0,188.0,50.0,76.0,23.0,3.0,797.0,206.0,5.0
2020-05-04,4.0,183.0,51.0,76.0,30.0,3.0,867.0,206.0,5.0
2020-05-05,5.0,191.0,43.0,78.0,28.0,5.0,969.0,205.0,5.0
2020-05-06,5.0,195.0,43.0,70.0,28.0,5.0,1042.0,204.0,5.0
2020-05-07,10.0,206.0,43.0,62.0,28.0,5.0,1186.0,215.0,5.0
2020-05-08,10.0,223.0,44.0,60.0,28.0,8.0,1254.0,292.0,4.0
2020-05-09,13.0,222.0,49.0,60.0,28.0,7.0,1394.0,288.0,4.0
2020-05-10,14.0,226.0,58.0,58.0,26.0,7.0,1482.0,290.0,4.0
2020-05-11,12.0,229.0,58.0,58.0,27.0,7.0,1652.0,363.0,4.0
2020-05-12,12.0,223.0,78.0,62.0,28.0,10.0,1744.0,362.0,4.0
2020-05-13,12.0,207.0,95.0,61.0,28.0,10.0,1844.0,406.0,4.0
2020-05-14,12.0,202.0,117.0,58.0,28.0,10.0,1960.0,473.0,4.0
2020-05-15,12.0,186.0,137.0,58.0,28.0,10.0,2039.0,505.0,4.0
2020-05-16,13.0,157.0,155.0,58.0,24.0,10.0,2259.0,508.0,4.0
2020-05-17,14.0,150.0,165.0,60.0,26.0,10.0,2490.0,507.0,4.0
2020-05-18,14.0,151.0,168.0,58.0,27.0,9.0,2619.0,536.0,4.0
2020-05-19,14.0,160.0,180.0,59.0,27.0,8.0,2679.0,628.0,4.0
2020-05-20,13.0,162.0,193.0,58.0,28.0,9.0,2925.0,775.0,4.0
2020-05-21,13.0,172.0,200.0,59.0,29.0,11.0,3082.0,841.0,4.0
2020-05-22,6.0,174.0,219.0,60.0,29.0,10.0,3327.0,945.0,4.0
2020-05-23,8.0,161.0,227.0,62.0,29.0,10.0,3539.0,1026.0,4.0
2020-05-24,8.0,161.0,261.0,65.0,24.0,10.0,3828.0,1022.0,5.0
2020-05-25,9.0,169.0,266.0,66.0,23.0,10.0,4141.0,1063.0,5.0
2020-05-26,9.0,167.0,267.0,68.0,23.0,9.0,4480.0,1157.0,5.0
2020-05-27,12.0,163.0,298.0,70.0,23.0,9.0,4952.0,1267.0,5.0
2020-05-28,12.0,163.0,340.0,74.0,25.0,12.0,5311.0,1414.0,5.0
2020-05-29,12.0,180.0,407.0,81.0,27.0,14.0,5477.0,1482.0,2.0
2020-05-30,11.0,208.0,473.0,103.0,19.0,22.0,5945.0,1610.0,2.0
2020-05-31,10.0,235.0,528.0,117.0,39.0,22.0,6021.0,1709.0,2.0
2020-06-01,12.0,276.0,620.0,123.0,41.0,26.0,6166.0,1785.0,2.0
2020-06-02,13.0,333.0,683.0,129.0,64.0,26.0,6208.0,1859.0,2.0
2020-06-03,15.0,349.0,742.0,132.0,67.0,29.0,6400.0,1987.0,10.0
2020-06-04,16.0,371.0,778.0,146.0,88.0,33.0,6575.0,2155.0,10.0
2020-06-05,22.0,391.0,838.0,154.0,113.0,38.0,6697.0,2299.0,10.0
2020-06-06,23.0,430.0,899.0,161.0,137.0,44.0,6936.0,2338.0,34.0
2020-06-07,23.0,444.0,974.0,165.0,149.0,44.0,6875.0,2368.0,50.0
2020-06-08,27.0,466.0,1036.0,179.0,154.0,51.0,6936.0,2416.0,50.0
2020-06-09,27.0,490.0,1103.0,190.0,165.0,54.0,7320.0,2540.0,78.0
2020-06-10,44.0,517.0,1169.0,199.0,168.0,55.0,7629.0,2613.0,114.0
2020-06-11,56.0,601.0,1233.0,225.0,230.0,63.0,8058.0,2637.0,157.0
2020-06-12,67.0,649.0,1299.0,249.0,235.0,72.0,8404.0,2744.0,220.0
2020-06-13,82.0,715.0,1386.0,259.0,253.0,96.0,8699.0,2750.0,249.0
2020-06-14,83.0,786.0,1569.0,267.0,289.0,96.0,8621.0,2756.0,268.0
2020-06-15,96.0,841.0,1717.0,274.0,300.0,107.0,8630.0,2757.0,289.0
2020-06-16,106.0,882.0,1749.0,281.0,317.0,133.0,8926.0,2783.0,295.0
2020-06-17,110.0,923.0,1866.0,295.0,334.0,156.0,9043.0,2914.0,363.0
2020-06-18,158.0,1003.0,1996.0,316.0,348.0,170.0,9001.0,3106.0,384.0
2020-06-19,166.0,1083.0,2110.0,330.0,362.0,185.0,9207.0,3248.0,400.0
2020-06-20,222.0,1158.0,2165.0,337.0,376.0,215.0,9416.0,3347.0,450.0
2020-06-21,261.0,1372.0,2350.0,353.0,380.0,222.0,9394.0,3373.0,456.0
2020-06-22,259.0,1504.0,2404.0,453.0,498.0,247.0,9562.0,3423.0,466.0
2020-06-23,339.0,1551.0,2555.0,529.0,510.0,269.0,9502.0,3513.0,475.0
2020-06-24,374.0,1736.0,2690.0,547.0,521.0,296.0,9573.0,3604.0,475.0
2020-06-25,419.0,1940.0,2717.0,560.0,531.0,355.0,9624.0,3627.0,479.0
2020-06-26,472.0,2143.0,2970.0,631.0,532.0,394.0,9451.0,3634.0,526.0
2020-06-27,525.0,2324.0,3128.0,629.0,546.0,473.0,9727.0,3666.0,530.0
2020-06-28,583.0,2424.0,3165.0,710.0,572.0,494.0,9792.0,3725.0,528.0
2020-06-29,589.0,2497.0,3164.0,728.0,595.0,551.0,9721.0,3752.0,529.0
2020-06-30,649.0,2556.0,3285.0,776.0,604.0,606.0,9995.0,3758.0,527.0
2020-07-01,706.0,2763.0,3355.0,821.0,618.0,661.0,9948.0,3805.0,585.0
2020-07-02,745.0,2910.0,3418.0,822.0,647.0,711.0,10171.0,3823.0,652.0
2020-07-03,781.0,3145.0,3631.0,868.0,653.0,776.0,10343.0,3880.0,655.0
2020-07-04,845.0,3372.0,3643.0,909.0,682.0,858.0,10485.0,3886.0,741.0
2020-07-05,890.0,3687.0,3640.0,953.0,684.0,910.0,10681.0,3884.0,867.0
2020-07-06,922.0,4160.0,3836.0,996.0,704.0,975.0,10637.0,3936.0,938.0
