,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,1,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,1,6,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,1,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,1,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,1,1,1,0,0,1,0,0
2020-03-20,0,0,0,0,0,0,3,0,0
2020-03-21,0,0,0,0,0,0,1,0,0
2020-03-22,0,0,1,0,0,0,6,0,0
2020-03-23,0,0,0,0,0,0,1,0,0
2020-03-24,0,1,0,0,0,0,3,0,0
2020-03-25,0,2,0,0,0,0,5,0,0
2020-03-26,0,4,7,0,1,0,10,0,0
2020-03-27,1,0,4,0,0,0,8,0,0
2020-03-28,0,2,0,0,2,0,2,0,1
2020-03-29,0,3,4,0,0,0,8,0,0
2020-03-30,0,1,2,0,0,1,7,0,0
2020-03-31,0,2,0,0,1,0,5,0,0
2020-04-01,0,0,1,0,0,0,4,0,3
2020-04-02,0,3,1,0,1,0,2,0,2
2020-04-03,0,1,2,0,0,0,4,0,0
2020-04-04,0,3,0,0,0,0,15,0,0
2020-04-05,0,9,9,0,0,0,8,0,0
2020-04-06,0,5,0,0,3,0,3,0,0
2020-04-07,0,2,5,0,2,0,3,0,4
2020-04-08,0,18,9,0,3,0,24,0,0
2020-04-09,0,0,1,0,0,0,3,0,0
2020-04-10,0,2,0,1,0,0,4,0,0
2020-04-11,0,6,1,2,2,0,13,0,1
2020-04-12,0,8,3,2,0,1,16,0,0
2020-04-13,0,7,2,1,0,0,14,0,0
2020-04-14,0,11,3,16,0,0,13,0,0
2020-04-15,0,10,2,7,0,0,25,0,0
2020-04-16,0,19,0,1,1,0,3,0,0
2020-04-17,0,0,1,4,2,1,19,0,1
2020-04-18,0,6,0,3,0,0,18,0,0
2020-04-19,0,7,1,0,1,0,35,0,0
2020-04-20,0,1,0,4,0,0,27,2,0
2020-04-21,0,3,1,0,0,0,7,0,0
2020-04-22,0,3,1,10,2,0,47,0,0
2020-04-23,1,10,3,3,0,0,14,0,0
2020-04-24,0,5,4,3,0,0,61,31,0
2020-04-25,0,4,1,0,5,0,43,6,0
2020-04-26,0,9,7,14,0,0,36,18,0
2020-04-27,1,17,0,13,0,0,28,5,0
2020-04-28,0,3,1,0,0,0,34,1,0
2020-04-29,0,14,1,10,0,0,28,4,0
2020-04-30,0,16,0,0,0,0,41,0,0
2020-05-01,1,3,0,5,0,0,37,16,0
2020-05-02,0,15,1,4,0,0,113,108,0
2020-05-03,0,5,0,0,0,0,98,21,0
2020-05-04,1,2,1,0,7,1,75,0,0
2020-05-05,1,10,0,2,2,2,104,0,0
2020-05-06,0,7,0,0,0,0,77,0,0
2020-05-07,5,11,0,2,0,0,158,19,0
2020-05-08,0,23,8,1,0,3,69,81,0
2020-05-09,3,7,5,5,0,1,150,0,0
2020-05-10,1,8,9,3,0,0,96,2,0
2020-05-11,0,4,5,0,1,0,190,75,0
2020-05-12,0,3,21,4,0,3,102,0,0
2020-05-13,0,3,18,0,0,0,116,47,0
2020-05-14,0,3,22,4,0,0,122,73,0
2020-05-15,0,6,26,0,0,0,134,39,0
2020-05-16,1,5,18,1,0,0,221,3,0
2020-05-17,1,2,10,2,2,0,245,0,0
2020-05-18,0,7,4,2,1,0,131,30,0
2020-05-19,0,13,18,1,0,0,88,98,0
2020-05-20,2,8,13,0,1,1,259,154,0
