,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,1,0,0
2020-04-09,0,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,4,0,0
2020-04-14,0,1,0,0,0,0,0,0,0
2020-04-15,0,0,0,7,0,0,0,0,0
2020-04-16,0,0,7,0,0,0,5,0,0
2020-04-17,0,5,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0,0
2020-04-20,0,0,6,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0,0,0
2020-04-23,0,4,0,0,0,0,0,0,6
2020-04-24,0,0,0,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,2,0,0,4,0,0
2020-04-27,0,3,9,0,2,0,4,0,0
2020-04-28,0,7,0,0,0,0,5,0,0
2020-04-29,0,1,0,0,0,0,6,0,0
2020-04-30,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0
2020-05-02,0,7,0,18,0,0,0,0,0
2020-05-03,0,4,0,0,0,0,3,0,0
2020-05-04,0,7,0,0,0,0,1,0,0
2020-05-05,0,1,8,0,4,0,0,0,0
2020-05-06,0,3,0,8,0,0,0,0,0
2020-05-07,0,0,0,9,0,0,12,0,0
2020-05-08,0,6,7,3,0,0,0,1,1
2020-05-09,0,8,0,4,0,2,7,0,0
2020-05-10,0,4,0,5,1,0,5,0,0
2020-05-11,1,1,5,0,0,0,19,0,0
2020-05-12,0,8,0,0,0,0,6,0,0
2020-05-13,0,17,0,1,0,0,8,0,0
2020-05-14,0,8,0,7,0,0,2,0,0
2020-05-15,0,22,5,0,0,0,48,3,0
2020-05-16,0,34,0,1,4,0,0,0,0
2020-05-17,0,9,0,0,0,0,11,0,0
2020-05-18,0,5,0,4,0,0,1,0,0
2020-05-19,0,3,5,0,0,1,21,0,0
2020-05-20,3,6,0,0,0,0,11,0,0
2020-05-21,0,1,0,0,0,1,6,0,0
2020-05-22,7,3,0,0,0,2,2,0,0
2020-05-23,0,17,0,0,0,0,17,0,0
2020-05-24,0,8,0,2,6,0,4,0,0
2020-05-25,0,1,0,0,3,1,10,3,0
2020-05-26,0,9,5,0,0,0,15,1,0
2020-05-27,0,9,0,0,0,0,3,0,0
2020-05-28,0,6,0,0,0,0,43,0,0
2020-05-29,0,3,0,0,0,0,4,0,4
2020-05-30,1,5,0,1,8,0,125,0,0
2020-05-31,2,2,0,0,0,0,93,0,0
2020-06-01,0,4,0,0,0,0,147,0,0
2020-06-02,0,1,4,1,0,0,155,0,0
2020-06-03,0,2,0,0,0,0,205,2,0
2020-06-04,0,3,7,0,0,0,137,4,0
2020-06-05,0,9,0,0,3,0,68,1,0
2020-06-06,0,6,0,0,0,3,153,1,0
2020-06-07,0,3,0,0,0,0,174,6,1
2020-06-08,0,0,0,0,0,0,70,3,0
2020-06-09,0,4,0,3,0,0,23,1,0
2020-06-10,0,9,0,5,0,0,49,8,0
2020-06-11,1,4,5,3,0,0,97,1,0
2020-06-12,0,2,0,0,0,0,48,9,0
2020-06-13,0,13,0,0,3,1,318,2,0
2020-06-14,0,10,0,0,0,0,335,0,0
2020-06-15,0,8,2,2,1,0,304,0,0
2020-06-16,0,0,0,2,0,0,318,2,0
2020-06-17,0,2,3,4,0,1,237,3,0
2020-06-18,1,6,5,0,0,2,301,2,1
2020-06-19,0,2,8,0,0,0,339,1,0
2020-06-20,0,0,0,3,0,2,408,2,1
2020-06-21,3,13,0,1,0,0,351,0,0
2020-06-22,2,6,0,3,0,4,379,9,0
2020-06-23,0,0,1,0,0,2,432,8,0
2020-06-24,1,9,5,6,5,5,457,7,0
2020-06-25,0,5,17,1,0,1,512,7,0
2020-06-26,1,3,6,0,0,0,387,1,0
2020-06-27,0,8,15,3,0,2,387,7,0
2020-06-28,0,6,0,3,10,0,337,3,0
2020-06-29,0,6,15,0,0,0,390,0,0
2020-06-30,0,3,0,2,1,1,372,33,0
2020-07-01,0,3,15,0,0,0,401,5,0
2020-07-02,5,0,17,79,0,0,482,11,0
2020-07-03,0,2,26,3,1,0,374,2,0
2020-07-04,0,4,30,3,0,2,466,1,0
2020-07-05,4,11,36,0,0,0,344,0,0
2020-07-06,0,7,24,0,1,1,227,2,0
2020-07-07,0,7,28,0,17,1,412,4,0
2020-07-08,12,5,21,22,4,1,417,3,0
2020-07-09,0,3,29,3,1,0,433,2,0
2020-07-10,0,31,31,0,5,0,487,10,0
2020-07-11,7,32,36,6,2,3,327,2,0
2020-07-12,2,37,58,24,0,10,376,3,0
2020-07-13,0,28,67,10,0,0,338,3,5
2020-07-14,6,33,44,13,0,0,408,3,18
2020-07-15,0,31,84,11,0,0,401,8,3
2020-07-16,9,11,75,16,0,0,496,8,7
2020-07-17,26,68,212,5,17,29,532,4,10
2020-07-18,3,38,74,32,2,29,119,0,21
2020-07-19,17,55,166,7,2,30,76,0,0
2020-07-20,2,24,94,22,0,22,148,2,8
2020-07-21,19,11,92,16,84,46,133,2,12
2020-07-22,50,29,119,9,0,2,195,0,27
2020-07-23,46,20,106,3,5,2,125,0,2
2020-07-24,49,26,147,7,0,42,304,1,8
2020-07-25,2,41,158,22,0,27,85,2,0
2020-07-26,17,29,125,5,4,5,33,0,0
2020-07-27,41,9,97,13,26,40,72,11,0
2020-07-28,25,38,101,12,0,49,230,34,4
2020-07-29,32,36,60,34,13,59,230,69,2
2020-07-30,49,26,121,31,5,43,404,86,34
2020-07-31,15,7,95,0,37,20,65,25,13
2020-08-01,0,24,118,38,0,62,67,69,8
2020-08-02,7,18,86,25,1,23,12,8,8
2020-08-03,8,0,54,11,3,35,155,56,32
2020-08-04,5,26,108,37,15,61,615,13,0
2020-08-05,59,79,74,9,68,62,658,38,0
2020-08-06,58,62,78,20,0,13,692,13,0
2020-08-07,47,39,82,5,6,19,536,31,1
2020-08-08,61,63,83,20,17,11,507,2,1
2020-08-09,63,81,147,2,6,38,563,4,0
2020-08-10,47,52,150,4,34,56,637,3,32
2020-08-11,41,14,249,17,5,35,556,1,12
2020-08-12,44,128,266,3,3,64,566,0,3
2020-08-13,20,24,178,50,12,70,479,52,5
2020-08-14,21,36,317,49,25,44,479,28,4
2020-08-15,24,107,203,0,0,32,547,2,0
2020-08-16,23,170,259,4,2,5,387,0,3
2020-08-17,25,69,323,20,1,69,466,3,4
2020-08-18,72,149,320,9,91,28,479,4,0
2020-08-19,76,147,180,384,10,32,508,4,1
2020-08-20,56,63,270,208,33,32,408,76,0
2020-08-21,51,153,251,31,10,32,472,28,2
2020-08-22,79,702,208,157,4,11,583,0,2
2020-08-23,69,685,212,3,4,12,489,33,2
2020-08-24,53,796,195,9,16,22,518,45,0
2020-08-25,67,826,307,9,6,57,550,3,0
2020-08-26,67,241,236,15,7,382,505,69,0
2020-08-27,75,846,180,134,36,405,445,3,0
2020-08-28,93,931,130,22,143,369,415,6,19
2020-08-29,68,920,150,63,46,299,509,45,0
2020-08-30,81,847,120,25,0,362,308,5,0
2020-08-31,47,961,157,17,17,329,379,4,0
2020-09-01,48,850,136,9,4,287,370,2,10
2020-09-02,56,1058,152,14,100,134,392,0,44
2020-09-03,51,1016,130,40,95,109,359,10,0
2020-09-04,64,1113,90,20,118,144,402,9,0
2020-09-05,55,1066,80,9,63,121,325,1,2
2020-09-06,46,1219,100,9,53,149,347,0,0
2020-09-07,71,1080,95,19,9,58,308,1,20
2020-09-08,134,1198,110,7,38,105,318,33,5
2020-09-09,151,1199,120,55,37,93,388,72,3
2020-09-10,148,1212,105,121,30,207,416,28,0
2020-09-11,149,741,100,12,119,202,315,86,33
2020-09-12,138,788,120,58,0,97,270,78,7
2020-09-13,114,771,90,12,2,178,253,70,0
2020-09-14,103,127,105,14,20,120,337,82,4
2020-09-15,113,255,80,20,106,66,286,90,2
2020-09-16,79,121,109,45,51,42,276,80,12
2020-09-17,46,88,85,41,63,68,215,79,0
2020-09-18,53,94,90,65,92,77,186,80,4
2020-09-19,45,49,95,54,18,109,115,90,0
2020-09-20,67,33,80,41,18,134,127,85,0
2020-09-21,74,43,95,23,33,170,115,70,0
2020-09-22,84,128,60,7,11,244,47,32,0
2020-09-23,131,68,70,26,230,97,44,12,25
2020-09-24,144,57,60,24,28,161,29,42,0
2020-09-25,137,137,75,27,43,238,29,80,1
2020-09-26,144,125,60,0,25,84,25,72,3
2020-09-27,78,91,50,21,1,51,23,70,0
2020-09-28,57,125,55,9,37,115,21,87,27
2020-09-29,92,153,40,19,31,154,22,60,0
2020-09-30,102,171,50,8,137,95,20,51,0
2020-10-01,65,169,45,35,70,178,15,59,0
2020-10-02,67,118,40,18,87,78,22,53,6
2020-10-03,62,117,78,19,13,60,21,80,1
2020-10-04,45,131,85,10,65,36,18,52,0
2020-10-05,58,86,56,6,5,154,15,80,0
2020-10-06,61,0,45,12,2,281,21,113,0
2020-10-07,63,208,48,37,39,236,19,70,6
2020-10-08,63,146,50,67,62,71,25,60,0
2020-10-09,41,121,47,28,53,168,23,54,0
2020-10-10,46,88,35,9,67,123,20,51,0
2020-10-11,41,51,45,9,27,94,13,37,0
2020-10-12,36,159,40,33,28,86,12,24,2
2020-10-13,84,101,40,53,145,55,23,53,6
2020-10-14,47,80,35,11,121,78,19,139,29
2020-10-15,41,122,35,28,139,276,27,187,2
2020-10-16,38,102,20,1,35,102,21,78,0
2020-10-17,38,59,25,4,13,98,19,50,0
2020-10-18,36,126,20,0,7,30,17,45,0
2020-10-19,26,95,20,16,97,116,23,81,0
2020-10-20,32,81,30,21,17,278,18,92,0
2020-10-21,19,139,35,91,16,340,22,140,2
2020-10-22,23,118,30,56,82,130,24,157,0
2020-10-23,31,142,40,16,66,263,22,103,0
2020-10-24,37,149,30,0,17,119,18,64,0
2020-10-25,33,70,20,31,7,371,16,43,0
2020-10-26,61,111,40,38,61,140,19,99,1
2020-10-27,77,136,30,25,41,160,18,54,0
2020-10-28,88,136,25,16,31,170,25,43,0
2020-10-29,83,75,30,19,104,116,20,7,2
2020-10-30,69,101,20,2,87,84,13,43,0
2020-10-31,51,78,25,4,21,70,16,60,0
2020-11-01,71,116,25,4,1,77,23,28,0
2020-11-02,52,80,10,0,0,27,18,20,0
2020-11-03,69,79,15,63,23,140,17,65,0
2020-11-04,34,81,12,10,17,97,19,46,0
2020-11-05,57,179,15,48,26,177,16,25,1
2020-11-06,27,167,15,28,72,162,14,28,0
2020-11-07,36,110,10,7,16,101,17,29,0
2020-11-08,26,116,12,7,0,32,21,27,0
2020-11-09,31,166,15,12,60,115,16,0,0
2020-11-10,27,155,10,11,22,72,21,0,0
2020-11-11,43,135,15,109,78,94,22,21,2
2020-11-12,33,176,20,10,73,45,22,40,0
2020-11-13,39,98,15,5,137,32,19,19,4
2020-11-14,19,97,10,2,74,46,23,52,0
2020-11-15,41,236,22,7,83,84,42,117,0
2020-11-16,14,101,10,28,31,75,25,33,0
2020-11-17,22,107,10,100,26,28,27,15,0
2020-11-18,41,159,15,99,104,90,18,18,0
2020-11-19,23,147,12,2,109,11,18,25,11
2020-11-20,28,117,10,27,50,62,26,18,0
2020-11-21,13,89,8,1,0,3,23,14,0
2020-11-22,10,96,0,1,0,0,37,14,0
2020-11-23,9,64,22,84,7,10,14,0,0
2020-11-24,7,77,15,64,26,25,26,33,14
2020-11-25,23,127,20,28,21,103,19,0,33
2020-11-26,0,139,17,70,202,30,26,27,0
2020-11-27,15,105,25,11,13,20,26,115,0
2020-11-28,13,134,20,2,3,16,16,26,0
2020-11-29,8,102,33,4,25,2,0,18,0
2020-11-30,7,98,5,8,15,21,38,38,0
2020-12-01,23,309,15,63,295,42,27,10,9
2020-12-02,8,153,20,861,30,26,31,46,3
2020-12-03,12,102,46,121,34,18,0,5,4
2020-12-04,18,97,20,128,64,14,29,5,0
2020-12-05,17,85,15,40,2,8,35,0,4
2020-12-06,8,38,15,68,0,5,26,43,0
2020-12-07,7,40,10,0,17,39,23,44,2
2020-12-08,13,53,15,3,54,51,31,29,0
2020-12-09,12,23,20,0,71,52,29,0,53
2020-12-10,15,51,15,3,0,49,41,43,9
2020-12-11,16,58,10,3,5,13,39,25,1
2020-12-12,10,14,15,2,99,29,37,0,0
2020-12-13,12,9,15,4,14,7,40,28,0
2020-12-14,10,13,20,0,87,31,42,15,0
2020-12-15,12,33,15,36,91,6,42,40,6
2020-12-16,30,63,8,2,68,5,53,0,1
2020-12-17,8,0,7,4,50,43,63,30,0
2020-12-18,10,31,7,22,163,52,58,42,0
2020-12-19,7,45,3,4,0,42,154,20,0
2020-12-20,17,23,0,2,38,2,57,15,0
2020-12-21,9,79,5,0,101,26,84,35,0
2020-12-22,8,38,7,1,88,14,74,0,2
2020-12-23,17,38,8,77,128,3,218,1,22
2020-12-24,10,45,5,2,101,10,161,0,1
2020-12-25,11,71,9,2,0,4,218,11,41
2020-12-26,8,45,10,0,94,8,40,10,0
2020-12-27,6,39,5,1,35,3,156,8,0
2020-12-28,10,44,10,3,61,10,250,0,10
2020-12-29,8,35,10,2,64,9,86,64,12
2020-12-30,15,29,7,6,98,32,270,20,192
2020-12-31,11,32,12,12,117,62,240,0,32
2021-01-01,10,22,9,5,51,19,274,20,3
2021-01-02,11,38,8,3,6,25,380,32,0
2021-01-03,12,52,10,3,78,6,33,40,0
2021-01-04,19,30,12,0,48,74,227,12,2
2021-01-05,12,28,15,183,93,91,408,0,2
2021-01-06,10,16,10,6,21,66,476,0,78
2021-01-07,12,26,15,4,0,126,474,53,370
2021-01-08,11,77,20,3,69,101,136,45,154
2021-01-09,13,106,25,4,59,79,403,0,133
2021-01-10,7,68,25,4,43,30,206,0,0
2021-01-11,11,50,35,3,55,69,483,16,0
2021-01-12,6,50,50,26,10,70,651,0,0
2021-01-13,10,65,120,1,25,60,669,49,0
2021-01-14,8,28,62,13,35,44,875,0,0
2021-01-15,19,61,134,19,44,34,183,49,0
2021-01-16,15,32,39,15,67,26,426,0,49
2021-01-17,12,25,57,9,59,20,307,0,0
2021-01-18,25,24,116,4,39,53,495,34,0
2021-01-19,18,31,125,139,64,62,871,0,0
2021-01-20,14,94,168,9,52,15,689,0,0
2021-01-21,10,147,102,9,59,186,638,15,0
2021-01-22,18,38,48,11,56,52,783,0,0
2021-01-23,28,63,91,20,75,117,609,0,142
2021-01-24,34,40,87,5,51,0,327,0,0
2021-01-25,32,107,168,8,117,35,551,12,0
2021-01-26,26,21,202,95,55,48,588,51,0
2021-01-27,37,44,233,543,42,55,840,28,0
2021-01-28,72,62,205,5,62,96,816,27,0
2021-01-29,28,26,316,1,59,42,1045,24,0
2021-01-30,65,77,152,8,37,8,889,0,0
2021-01-31,23,56,107,11,36,80,410,0,0
2021-02-01,36,66,219,2,52,3,658,68,0
2021-02-02,32,61,173,17,66,3,1086,0,0
2021-02-03,59,116,184,24,28,0,1137,26,0
2021-02-04,69,26,190,31,59,12,1175,0,0
2021-02-05,65,154,285,28,38,3,673,0,300
2021-02-06,50,67,150,23,25,7,521,0,65
2021-02-07,62,82,83,41,48,6,364,0,0
2021-02-08,74,68,159,3,66,101,844,51,9
2021-02-09,98,52,334,54,36,37,920,0,26
2021-02-10,74,92,224,43,59,47,1185,12,2
2021-02-11,60,115,232,44,0,47,1113,5,3
2021-02-12,56,98,138,29,209,79,1020,0,0
2021-02-13,54,260,161,33,43,5,768,0,0
2021-02-14,60,69,54,40,56,0,214,0,0
2021-02-15,90,64,200,28,44,2,826,28,0
2021-02-16,50,60,196,38,23,0,727,4,0
2021-02-17,96,48,285,15,24,65,634,16,0
2021-02-18,98,30,257,43,33,95,601,36,3
2021-02-19,92,89,249,72,59,58,596,8,76
2021-02-20,42,124,144,101,67,2,404,0,0
2021-02-21,76,99,85,19,17,0,117,24,1
2021-02-22,88,79,152,37,78,47,477,0,5
2021-02-23,62,74,180,1394,41,73,675,28,0
2021-02-24,60,72,208,46,71,36,659,30,5
2021-02-25,56,122,220,43,68,47,631,36,26
2021-02-26,40,56,140,45,96,26,466,0,0
2021-02-27,54,86,128,9,25,5,296,0,0
2021-02-28,40,149,4,10,61,0,215,0,0
2021-03-01,47,52,135,20,50,58,214,43,1
2021-03-02,68,36,151,18,63,23,307,51,1
2021-03-03,48,72,191,24,37,57,300,0,0
2021-03-04,40,41,134,37,28,142,170,14,0
2021-03-05,24,112,95,42,43,155,555,0,0
2021-03-06,14,298,119,32,24,27,171,11,0
2021-03-07,19,297,50,11,24,0,408,0,0
2021-03-08,35,261,59,25,21,7,356,0,0
2021-03-09,53,260,52,35,23,33,278,108,0
2021-03-10,60,292,169,34,35,54,308,101,5
2021-03-11,48,217,149,25,79,8,464,308,18
2021-03-12,51,292,107,65,91,142,342,159,1
2021-03-13,32,279,83,18,65,9,212,47,0
2021-03-14,22,263,49,16,84,0,168,0,0
2021-03-15,46,234,107,18,28,19,355,8,0
2021-03-16,39,227,152,51,24,62,326,44,33
2021-03-17,35,278,163,17,55,107,338,44,20
2021-03-18,30,314,90,1181,87,44,405,47,1
2021-03-19,16,260,142,6,35,27,408,0,0
2021-03-20,15,236,62,19,47,33,294,0,14
2021-03-21,19,280,44,8,33,8,248,0,10
2021-03-22,23,255,76,5,19,73,134,0,0
2021-03-23,14,254,98,31,33,48,404,191,15
2021-03-24,20,334,109,30,243,97,356,18,2
2021-03-25,8,367,124,23,96,47,312,87,5
2021-03-26,14,306,77,26,36,73,509,4,1
2021-03-27,12,329,100,15,20,10,332,0,0
2021-03-28,18,350,18,9,31,4,152,0,0
2021-03-29,24,323,63,15,78,48,335,0,0
2021-03-30,20,347,83,376,35,38,425,140,3
2021-03-31,59,373,102,12,33,73,446,8,0
2021-04-01,37,309,88,16,46,115,342,0,9
2021-04-02,26,333,78,10,19,1,361,1,7
2021-04-03,26,363,42,4,66,4,283,0,0
2021-04-04,20,331,22,6,22,0,49,0,0
2021-04-05,28,273,58,18,34,29,231,33,12
2021-04-06,44,319,86,13,137,70,400,0,4
2021-04-07,40,324,107,12,104,43,391,2,2
2021-04-08,41,342,64,7,157,118,485,10,0
2021-04-09,30,337,77,25,76,42,391,0,7
2021-04-10,32,331,45,5,38,0,327,0,8
2021-04-11,22,349,33,9,66,0,256,0,4
2021-04-12,18,357,72,7,46,45,278,48,5
2021-04-13,44,310,68,255,96,38,398,13,2
2021-04-14,77,312,123,12,66,20,308,28,4
2021-04-15,28,337,77,19,29,40,332,35,2
2021-04-16,16,353,0,2,52,85,0,0,7
2021-04-17,22,376,87,2,22,72,274,2,1
2021-04-18,17,343,38,0,52,4,425,0,3
2021-04-19,30,327,75,14,37,54,426,35,1
2021-04-20,21,310,109,8,48,53,544,40,9
2021-04-21,18,329,156,19,82,49,497,47,30
2021-04-22,22,342,156,14,63,103,552,60,189
2021-04-23,32,318,37,16,42,63,296,193,18
2021-04-24,21,351,46,15,54,20,295,0,0
2021-04-25,20,320,24,3,77,6,302,0,0
2021-04-26,23,326,96,4,47,23,488,30,3
2021-04-27,29,323,95,301,41,29,415,54,1
2021-04-28,28,340,144,11,52,119,402,46,0
2021-04-29,30,361,122,20,72,98,513,44,17
2021-04-30,20,341,142,14,47,85,602,19,14
2021-05-01,38,345,82,10,42,7,580,4,8
2021-05-02,23,352,29,21,44,13,139,0,5
2021-05-03,31,325,132,2,72,59,541,88,27
2021-05-04,20,305,141,18,45,34,591,20,71
2021-05-05,44,344,161,16,59,94,451,124,56
2021-05-06,20,364,154,30,33,51,104,20,15
2021-05-07,58,379,187,15,87,69,512,21,35
2021-05-08,53,366,98,21,68,0,400,0,1
2021-05-09,57,354,83,32,36,1,551,0,0
2021-05-10,20,324,178,6,43,115,656,50,26
2021-05-11,23,312,233,731,35,87,573,0,53
2021-05-12,28,330,274,5,91,98,661,0,8
2021-05-13,73,340,244,5,155,123,357,126,38
2021-05-14,23,317,246,9,44,66,377,138,95
2021-05-15,95,326,182,10,17,15,533,0,0
2021-05-16,32,452,105,4,29,1,601,0,0
2021-05-17,63,422,184,1,23,156,725,133,6
2021-05-18,95,417,325,18,30,87,693,0,1
2021-05-19,64,268,317,22,128,91,442,104,44
2021-05-20,81,197,379,22,65,83,228,67,40
2021-05-21,85,189,321,10,88,117,650,128,46
2021-05-22,88,121,212,208,43,13,819,0,20
2021-05-23,63,67,126,19,33,2,825,0,6
2021-05-24,81,49,354,6,86,137,810,134,6
2021-05-25,80,52,392,17,56,101,670,124,5
2021-05-26,91,53,440,64,83,109,500,126,8
